record_id,energy_node_id,region,substation_type,device_type,communication_protocol,packet_size_bytes,packet_rate_per_sec,network_latency_ms,bandwidth_usage_mbps,jitter_ms,packet_loss_percent,connection_duration_sec,active_connection_count,failed_connection_count,authentication_attempts,failed_login_count,user_role,device_trust_level,firmware_version,cpu_utilization_percent,memory_utilization_percent,power_consumption_kw,sensor_update_interval_ms,telemetry_volume_mb,scada_command_count,control_signal_frequency,measurement_variance,voltage_deviation_percent,frequency_deviation_hz,event_severity,alert_priority,encryption_algorithm,certificate_status,intrusion_signature_score,behavior_anomaly_score,traffic_entropy,session_risk_score,federated_round,attack_type
1,Node_07,Northeast,Distribution,RTU,DNP3,958,483,209.43,259.41,34.42,23.24,6560,121,3,1,18,Maintenance,Guest,v2.0,84.17,69.46,42.88,35.89,95.89,1028,16.58,7.008,-4.47,-1.52,Critical,P4,AES128,Valid,0.4158,0.6395,7.668,94.53,4,Insider_Threat
2,Node_04,Northeast,Industrial,Edge_Node,DNP3,932,981,41.74,623.86,39.95,2.44,3148,81,9,37,7,Maintenance,Guest,v2.3,88.13,75.34,52.28,88.54,180.21,780,88.88,12.367,-3.4,-0.845,Critical,P4,AES256,Revoked,0.4256,0.8895,6.819,70.29,58,Insider_Threat
3,Node_11,Central,Industrial,IED,DNP3,1442,621,101.14,514.09,17.41,24.23,7038,251,41,79,4,Engineer,Guest,v2.0,59.07,15.81,160.47,341.22,11.56,444,68.72,5.782,-4.57,-0.032,Critical,P1,ChaCha20,Valid,0.9843,0.1921,3.718,15.02,33,Spoofing_Attack
4,Node_08,Central,Industrial,SCADA_Server,OPC_UA,493,535,43.36,829.28,42.21,9.18,2245,16,10,23,11,Engineer,Guest,v2.3,98.19,23.93,187.24,991.72,62.07,294,346.35,17.447,1.99,1.019,Medium,P1,ChaCha20,Revoked,0.1254,0.0244,6.125,0.19,67,DoS_Attack
5,Node_05,Northeast,Industrial,RTU,Modbus,1126,752,56.84,839.35,0.28,11.15,3444,232,3,20,20,Administrator,Guest,v1.0,99.77,68.56,393.41,583.3,91.53,445,385.02,13.403,-1.72,-0.57,High,P4,AES256,Revoked,0.2455,0.0798,4.216,43.28,45,Normal
6,Node_07,Northeast,Distribution,Edge_Node,TCP_IP,1390,675,125.74,539.45,41.39,20.82,2524,208,56,61,18,Engineer,Restricted,v3.0,13.19,89.62,15.81,197.24,39.06,832,432.56,5.878,-4.66,1.179,High,P4,AES128,Valid,0.8509,0.4223,7.99,21.72,76,Spoofing_Attack
7,Node_10,South,Distribution,Smart_Meter,DNP3,488,41,90.99,907.28,1.38,6.88,6556,157,48,72,2,Engineer,Trusted,v2.0,96.44,19.74,472.5,911.29,197.12,22,20.32,18.538,0.59,1.657,Critical,P3,AES128,Expired,0.9491,0.2179,0.233,87.58,13,False_Data_Injection
8,Node_03,South,Renewable,SCADA_Server,IEC61850,1435,723,227.53,933.18,32.3,25.27,5853,49,25,79,5,Operator,Trusted,v2.0,47.23,38.66,63.23,856.95,164.5,374,440.52,10.967,-4.14,-0.901,High,P1,ChaCha20,Valid,0.3523,0.1144,3.286,4.15,79,Replay_Attack
9,Node_07,East,Renewable,Smart_Meter,OPC_UA,492,1150,1.03,248.14,10.3,27.9,4474,227,7,7,16,Supervisor,Restricted,v2.0,62.79,74.7,413.97,223.14,18.51,397,165.18,3.597,3.11,0.586,Medium,P3,AES128,Revoked,0.7871,0.1891,7.949,8.55,31,Command_Injection
10,Node_11,West,Renewable,RTU,OPC_UA,1373,345,3.58,977.61,24.68,29.65,2290,197,45,31,12,Maintenance,Restricted,v2.0,34.26,63.95,4.6,340.99,153.51,1129,452.22,15.379,7.25,-1.142,Medium,P1,ChaCha20,Valid,0.0797,0.9083,1.37,50.44,41,Replay_Attack
11,Node_11,South,Distribution,SCADA_Server,DNP3,518,926,230.17,986.0,20.21,20.78,226,272,46,49,24,Engineer,Guest,v3.0,28.87,48.08,360.64,698.98,82.76,986,207.81,9.786,7.52,-1.387,Medium,P2,RSA2048,Expired,0.0123,0.2703,4.27,27.69,98,Malware
12,Node_08,East,Transmission,IED,IEC61850,1411,445,60.52,69.64,47.88,16.83,1937,141,48,66,21,Engineer,Restricted,v2.0,87.28,44.98,487.77,987.9,71.24,288,6.32,4.347,-7.0,0.466,Medium,P2,ChaCha20,Revoked,0.7375,0.9242,1.516,60.26,56,Command_Injection
13,Node_05,North,Renewable,Edge_Node,MQTT,582,1282,1.62,7.35,16.16,26.74,822,135,5,27,24,Engineer,Trusted,v3.0,71.0,35.59,265.11,123.34,65.93,882,251.83,5.616,-8.46,-0.322,Critical,P4,AES128,Valid,0.7782,0.0216,1.899,24.42,93,Command_Injection
14,Node_04,Central,Transmission,Smart_Meter,OPC_UA,1440,1384,109.97,63.31,33.23,8.5,4750,152,22,60,24,Engineer,Restricted,v3.0,85.16,68.99,296.68,514.44,183.72,1098,298.73,11.939,4.98,-0.304,Medium,P4,ChaCha20,Valid,0.8773,0.1579,7.892,87.64,32,Replay_Attack
15,Node_08,West,Transmission,Edge_Node,DNP3,1390,749,49.72,352.91,25.85,15.98,1704,131,3,7,2,Operator,Guest,v1.0,8.45,21.59,424.72,165.51,180.85,1056,299.24,13.284,8.42,-0.591,Critical,P1,AES256,Expired,0.7887,0.458,6.8,75.43,17,Reconnaissance
16,Node_08,East,Transmission,IED,TCP_IP,273,58,14.28,809.01,18.95,6.51,6352,35,50,38,9,Supervisor,Restricted,v2.0,97.24,44.2,71.6,570.85,246.89,1039,467.62,14.177,0.59,1.878,Critical,P2,RSA2048,Valid,0.1335,0.8212,5.665,88.61,46,Spoofing_Attack
17,Node_03,Northeast,Industrial,Smart_Meter,DNP3,654,962,133.09,507.04,32.55,9.78,2446,292,25,56,24,Supervisor,Trusted,v3.0,62.38,98.1,120.73,459.38,62.39,43,213.83,17.82,-8.56,-0.528,Low,P4,RSA2048,Revoked,0.5908,0.223,0.509,13.43,61,DoS_Attack
